"Candidate","House/Senate","State","District","Party","Status","ElectionYear","Gender","GenderVar","PercentWomen"
"SINNARD, JEFFREY R","H","OH","2","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"SMITH, BERT","H","OK","5","DEM","OPEN","2008","male","0","2.9702970297029703","democrat"
"SMITH, HARRI ANNE","H","AL","2","REP","OPEN","2008","female","1","2.857142857142857","republican"
"SMITLEY, MICHAEL R.","H","OH","5","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"SOWARDS, GREGORY EDDIE","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"SPEIER, JACKIE","H","CA","12","DEM","OPEN","2008","female","1","21.25","democrat"
"STARIN, SCOTT HOWARD","H","CO","2","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"STECK, PHILLIP G","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"STEIN, JOTHAM SHEPARD","H","IL","14","DEM","OPEN","2008","male","0","19.491525423728813","democrat"
"STENDER, LINDA MRS.","H","NJ","7","DEM","OPEN","2008","female","1","22.5","democrat"
"STIVERS, STEVE","H","OH","15","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"STRANIERE, ROBERT A","H","NY","13","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"STRIMLING, ETHAN K","H","ME","1","DEM","OPEN","2008","male","0","23.178807947019866","democrat"
"STROEHMANN, JEFFREY JOSH","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"STROUP, JOHN REA","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"SULLIVAN, JOSEPH P","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"SUMMERS, CHARLES E JR","H","ME","1","REP","OPEN","2008","male","0","7.28476821192053","republican"
"SWEETLAND, DALE A","H","NY","25","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"TEAGUE, HARRY","H","NM","2","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"TENORIO, PEDRO AGULTO","H","MP","0","REP","OPEN","2008","male","0"
"TERBOLIZARD, THEODORE TERBO","H","CA","4","REP","OPEN","2008","male","0","7.5","republican"
"THOMPSON, GLENN","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"THOMPSON, JEFFERSON ROWE","H","LA","4","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"TIERNEY, THOMAS P","H","MA","5","REP","OPEN","2008","male","0","2.5","republican"
"TINKER, NIKKI M","H","TN","9","DEM","OPEN","2008","female","1","10.1010101010101","democrat"
"TINSLEY, EDWARD R. III","H","NM","2","REP","OPEN","2008","male","0","17.142857142857142","republican"
"TITLA, MARY KIM","H","AZ","1","DEM","OPEN","2008","female","1","15.0","democrat"
"TODD, MICHAEL","H","OH","16","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"TONKO, PAUL DAVID","H","NY","21","DEM","OPEN","2008","male","0","22.666666666666664","democrat"
"TRAUNER, GARY S","H","WY","0","DEM","OPEN","2008","male","0","13.333333333333334","democrat"
"VASQUEZ, STEVEN","H","NY","21","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"VERSACE, RICHARD","H","IL","18","DEM","OPEN","2008","male","0","19.491525423728813","democrat"
"VIGIL-GIRON, REBECCA D","H","NM","1","DEM","OPEN","2008","female","1","14.285714285714285","democrat"
"VILELLO, RICHARD PAUL JR","H","PA","5","DEM","OPEN","2008","male","0","5.41871921182266","democrat"
"WADE, FRANK","H","CA","12","DEM","OPEN","2008","male","0","21.25","democrat"
"WAGNER, ROBERT M","H","OH","15","REP","OPEN","2008","male","0","6.0606060606060606","republican"
"WALKER, DEREK A","H","PA","5","REP","OPEN","2008","male","0","7.8817733990147785","republican"
"WARD, STEPHEN P","H","CO","6","REP","OPEN","2008","male","0","7.6923076923076925","republican"
"WATKINS, ROBERT J","H","CA","52","REP","OPEN","2008","male","0","7.5","republican"
"WEBER, JERRY","H","IL","11","DEM","OPEN","2008","male","0","19.491525423728813","democrat"
"WEIRAUCH, ROBIN","H","OH","5","DEM","OPEN","2008","female","1","12.121212121212121","democrat"
"WHEELER, THOMAS J.","H","OH","11","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"WHITE, DARREN P","H","NM","1","REP","OPEN","2008","male","0","17.142857142857142","republican"
"WHITE, HOYT (MARK)","H","TN","9","REP","OPEN","2008","male","0","5.05050505050505","republican"
"WHITMAN, KATE","H","NJ","7","REP","OPEN","2008","female","1","10.0","republican"
"WILSON, ED","H","CA","37","DEM","OPEN","2008","male","0","21.25","democrat"
"WILSON, RICHARD (RJ)","H","OR","5","REP","OPEN","2008","male","0","13.333333333333334","republican"
"WINNEY, J WILLIAM JR","H","WY","0","REP","OPEN","2008","male","0","15.0","republican"
"WIVIOTT, DON","H","NM","3","DEM","OPEN","2008","male","0","14.285714285714285","democrat"
"WOLFE, JESSICA LYNN","H","NM","1","DEM","OPEN","2008","female","1","14.285714285714285","democrat"
"WOLFGRAM, JOHN","H","CA","4","DEM","OPEN","2008","male","0","21.25","democrat"
"WOODS, DAVID DWIGHT","H","AL","2","REP","OPEN","2008","male","0","2.857142857142857","republican"
"WOOLEVER, F DAVID","H","OH","7","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"WYDERSKI, RICHARD J","H","OH","7","DEM","OPEN","2008","male","0","12.121212121212121","democrat"
"WYNE, JAMSHAD","H","NY","13","REP","OPEN","2008","male","0","3.3333333333333335","republican"
"YOUNG, DARREN","H","NJ","7","REP","OPEN","2008","male","0","10.0","republican"
"YOUNG, JOHN F","H","LA","1","REP","OPEN","2008","male","0","3.8095238095238098","republican"
"YOUNG, STEVEN","H","CA","48","DEM","OPEN","2008","male","0","21.25","democrat"
"ZWONITZER, DANIEL K","H","WY","0","REP","OPEN","2008","male","0","15.0","republican"
"ACTON, JON DAVID","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"ADAM, LEROY","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"ADAMS, EDDIE JR","H","FL","11","REP","OPEN","2010","male","0","11.666666666666666","republican"
"ADAMS, JIM","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"ADAMS, JOHN","H","AR","2","DEM","OPEN","2010","male","0","16.0","democrat"
"ALLEN, CHERYL DENISE","H","IN","4","REP","OPEN","2010","female","1","7.000000000000001","republican"
"ALLEN, JASON EDWARD","H","MI","1","REP","OPEN","2010","male","0","5.454545454545454","republican"
"ALONSO, FRANCISCO","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"AMASH, JUSTIN","H","MI","3","REP","OPEN","2010","male","0","5.454545454545454","republican"
"AMSTERDAM, C KAUI JOCHANAN","H","HI","1","REP","OPEN","2010","male","0","9.803921568627452","republican"
"ANDERSON, JAMES D","H","KS","4","REP","OPEN","2010","male","0","12.0","republican"
"ANDION, JAMES L","H","CA","33","REP","OPEN","2010","male","0","5.0","republican"
"ANNUNZIO, FRANK","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"ARROJO, JOSE ROLANNDO","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat"
"BAKER, SCOTT","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"BALFOUR, DONALD KENNETH II","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"BARKER, TIMOTHY CLARK","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"BARNETT, JAMES A","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"BARRY , HENRY CLAY","H","TN","6","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"BASS, CHARLES F.","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"BASS, KAREN","H","CA","33","DEM","OPEN","2010","female","1","20.0","democrat"
"BASTIEN, MARLEINE M","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat"
"BEDELL, GREGORY A","H","IL","5","REP","OPEN","2010","male","0","10.16949152542373","republican"
"BENISHEK, DANIEL J","H","MI","1","REP","OPEN","2010","male","0","5.454545454545454","republican"
"BENTON, CLYDE DANIEL","H","GA","9","REP","OPEN","2010","male","0","6.111111111111111","republican"
"BERNITT, BUD","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"BLACK, DIANE LYNN","H","TN","6","REP","OPEN","2010","female","1","5.05050505050505","republican"
"BLAKE, M. WAYNE","H","CA","32","REP","OPEN","2010","male","0","5.0","republican"
"BLEDSOE, CECILE H","H","AR","3","REP","OPEN","2010","female","1","9.0","republican"
"BOLDRA, SUE ELLEN","H","KS","1","REP","OPEN","2010","female","1","12.0","republican"
"BOLING, DAVID ALAN","H","AR","2","DEM","OPEN","2010","male","0","16.0","democrat"
"BOND, MICHAEL","H","IL","10","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"BOYD, CHRISTOPHER MYCHAL","H","WA","3","REP","OPEN","2010","male","0","8.16326530612245","republican"
"BRANCH, ROBERT ALLEN","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"BROWNE, VINNY","H","HI","1","DEM","OPEN","2010","male","0","25.49019607843137","democrat"
"BRUTUS, PHILLIP J","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"BRYLES, STEVE MARK","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"BUCKHANNON, RYAN L","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"BUCSHON, LARRY D","H","IN","8","REP","OPEN","2010","male","0","7.000000000000001","republican"
"BURTON , RAYMOND S.","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"BURTON, ROBERT","H","SC","1","DEM","OPEN","2010","male","0","6.451612903225806","democrat"
"BUSH, JAMES III","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"BUTLER , DEVORE E.","H","TN","6","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"CADIGAN, WILLIAM J","H","IL","10","REP","OPEN","2010","male","0","10.16949152542373","republican"
"CALVEY, KEVIN","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"CAMPBELL, CARROLL A III","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"CAMPBELL, MIKE","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"CAMPINI, ANGELO","H","NY","29","REP","OPEN","2010","male","0","4.0","republican"
"CANCIO, MARIANA MARILI","H","FL","25","REP","OPEN","2010","female","1","11.666666666666666","republican"
"CAPPARELLI, CARY","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"CARNEY, JOHN CHARLES JR","H","DE","0","DEM","OPEN","2010","male","0","12.195121951219512","democrat"
"CARTER, BRETT RYAN","H","TN","6","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"CASE, EDWARD ESPENETT","H","HI","1","DEM","OPEN","2010","male","0","25.49019607843137","democrat"
"CASH, RICHARD JAMES","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"CASTILLO, DAVID B","H","WA","3","REP","OPEN","2010","male","0","8.16326530612245","republican"
"CAUSEY, CHAD","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"CEDILLO, GILBERT","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"CERNIC, ED JR","H","PA","12","DEM","OPEN","2010","male","0","5.41871921182266","democrat"
"CHAMBERLAIN, DONALD NORWOOD","H","AL","7","REP","OPEN","2010","male","0","2.857142857142857","republican"
"CHARLES, ROBERT LINCOLN","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"CHU, BETTY","H","CA","32","REP","OPEN","2010","female","1","5.0","republican"
"CICILLINE, DAVID N","H","RI","1","DEM","OPEN","2010","male","0","22.666666666666664","democrat"
"CLOUD, JEFF","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"COBB, MARCK REDELL","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"COLLINS, CHARLES (GOOGIE)","H","HI","1","REP","OPEN","2010","male","0","9.803921568627452","republican"
"COLLINS, NEAL ANTHONY MR","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"CONNER, GAIL M","H","PA","7","DEM","OPEN","2010","female","1","5.41871921182266","democrat"
"COOK, DAVID RAY","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"COOPER, WILLIAM C","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"COULSON, ELIZABETH","H","IL","10","REP","OPEN","2010","female","1","10.16949152542373","republican"
"COX, JOHN CLAYTON 'CLAY'","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"COYLE, BILLY","H","OK","5","DEM","OPEN","2010","male","0","2.9702970297029703","democrat"
"CRANGLE, TOMMY FRANKLIN","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"CRAWFORD, ERIC ALAN RICK","H","AR","1","REP","OPEN","2010","male","0","9.0","republican"
"CRESPO, PAUL L","H","FL","25","REP","OPEN","2010","male","0","11.666666666666666","republican"
"CRIST, CHERYL A.","H","WA","3","DEM","OPEN","2010","female","1","21.428571428571427","democrat"
"CROWLEY, DAVID COCHRANE II","H","CA","33","REP","OPEN","2010","male","0","5.0","republican"
"CRUM, DOUGLAS","H","HI","1","REP","OPEN","2010","male","0","9.803921568627452","republican"
"CRUMP, SAMUEL TURRENTINE SR","H","AZ","3","REP","OPEN","2010","male","0","15.0","republican"
"CULLIS, FREDERICK R","H","DE","0","REP","OPEN","2010","male","0","7.317073170731707","republican"
"DAGHER, PETER ALEXANDER","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"DAVIS, TIMOTHY SEAN","H","MO","7","DEM","OPEN","2010","male","0","15.950920245398773","democrat"
"DEJOIE, JOHN","H","NH","2","DEM","OPEN","2010","male","0","25.25","democrat"
"DEL CASTILLO, RAFAEL GOODWIN","H","HI","1","DEM","OPEN","2010","male","0","25.49019607843137","democrat"
"DELAY, ROBERT GUNNER","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"DENHAM, JEFF","H","CA","19","REP","OPEN","2010","male","0","5.0","republican"
"DEVOL, MARK","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"DOBBS, ROBERT","H","SC","1","DEM","OPEN","2010","male","0","6.451612903225806","democrat"
"DOLD JR., ROBERT JAMES MR.","H","IL","10","REP","OPEN","2010","male","0","10.16949152542373","republican"
"DONATELLI, JAN H","H","IL","5","DEM","OPEN","2010","female","1","21.1864406779661","democrat"
"DONLON, PATRICK","H","MI","1","REP","OPEN","2010","male","0","5.454545454545454","republican"
"DOOLAN, THOMAS JOSEPH","H","FL","5","DEM","OPEN","2010","male","0","12.5","democrat"
"DOOLEY, THOMAS EUGENE","H","GA","9","REP","OPEN","2010","male","0","6.111111111111111","republican"
"DOWNER, HUNTINGTON B JR","H","LA","3","REP","OPEN","2010","male","0","3.8095238095238098","republican"
"DOYLE, BRIAN LAMONT","H","SC","3","DEM","OPEN","2010","male","0","6.451612903225806","democrat"
"DUFFY, SEAN","H","WI","7","REP","OPEN","2010","male","0","6.0606060606060606","republican"
"DUNCAN, JEFF","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"DUNHAM, DANIEL L","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"DURAN, BENITA","H","CA","32","DEM","OPEN","2010","female","1","20.0","democrat"
"DYER, JANE B MRS","H","SC","3","DEM","OPEN","2010","female","1","6.451612903225806","democrat"
"ECKERSLEY, SCOTT","H","MO","7","DEM","OPEN","2010","male","0","15.950920245398773","democrat"
"EDWARDS, LORI","H","FL","12","DEM","OPEN","2010","female","1","12.5","democrat"
"EDWARDS, RANDOLPH","H","FL","12","DEM","OPEN","2010","male","0","12.5","democrat"
"EFSTRATION, CHUCK","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"ELLIOTT, JOYCE ANN","H","AR","2","DEM","OPEN","2010","female","1","16.0","democrat"
"ERDEL, GEORGE T","H","TN","6","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"ESTRADA, ANDRES","H","CA","32","DEM","OPEN","2010","male","0","20.0","democrat"
"ESTRADA, JOHN ANTHONY","H","CA","19","DEM","OPEN","2010","male","0","20.0","democrat"
"EVANS, DAVE","H","TN","6","REP","OPEN","2010","male","0","5.05050505050505","republican"
"EVANS, MERVIN LEON","H","CA","33","DEM","OPEN","2010","male","0","20.0","democrat"
"EVANS, MIKE ALLEN","H","GA","9","REP","OPEN","2010","male","0","6.111111111111111","republican"
"FAVA, MARK CHRISTOPHER","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"FEIGENHOLTZ, SARA","H","IL","5","DEM","OPEN","2010","female","1","21.1864406779661","democrat"
"FERNALD, MARK","H","NH","2","DEM","OPEN","2010","male","0","25.25","democrat"
"FINCHER, JAMES (JEF) ERNEST","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"FINCHER, STEVE","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"FLANIGAN, RICKY A JR","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"FLEISCHMANN, CHARLES J","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"FLINN, GEORGE S JR","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"FLOWERS, PAULA","H","TN","3","DEM","OPEN","2010","female","1","12.121212121212121","democrat"
"FRASIER, BENJAMIN JR","H","SC","1","DEM","OPEN","2010","male","0","6.451612903225806","democrat"
"FREEMAN, MIKE","H","GA","9","DEM","OPEN","2010","male","0","15.0","democrat"
"FRIEDMAN, ARIE STEPHEN","H","IL","10","REP","OPEN","2010","female","1","10.16949152542373","republican"
"FRITCHEY, JOHN A","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"GALVIN, SCOTT","H","FL","17","DEM","OPEN","2010","male","0","12.5","democrat"
"GALYEAN, JAMES D","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"GARCIA, JOSE ANTONIO","H","FL","25","DEM","OPEN","2010","male","0","12.5","democrat"
"GEMMA, ANTHONY P","H","RI","1","DEM","OPEN","2010","male","0","22.666666666666664","democrat"
"GEOGHEGAN, THOMAS HOWARD","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"GIBSON, SHIRLEY","H","FL","17","DEM","OPEN","2010","female","1","12.5","democrat"
"GILLARD, MATTHEW OLSON","H","MI","1","DEM","OPEN","2010","male","0","20.0","democrat"
"GILYEAT, DANIEL","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"GIUDA, ROBERT","H","NH","2","REP","OPEN","2010","male","0","10.5","republican"
"GIUFFRE, JOHN (RAGHU)","H","HI","1","REP","OPEN","2010","male","0","9.803921568627452","republican"
"GLASSON, KENNETH THOMAS JR","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"GOBBLE, TIMOTHY A","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"GOLDTHORPE, LINDA J","H","MI","1","REP","OPEN","2010","female","1","5.454545454545454","republican"
"GOODMAN, JACK","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"GOODWIN, LORAINE","H","CA","19","DEM","OPEN","2010","female","1","20.0","democrat"
"GORMAN, PAMELA DIANE","H","AZ","3","REP","OPEN","2010","female","1","15.0","republican"
"GOYLE, RAJ","H","KS","4","DEM","OPEN","2010","male","0","16.8","democrat"
"GRABER, BENJAMIN","H","FL","19","DEM","OPEN","2010","male","0","12.5","democrat"
"GREEN, RICHARD CRONKHITE","H","IL","10","REP","OPEN","2010","male","0","10.16949152542373","republican"
"GREEN, TERRY GLENN","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"GREGORY, JAMES CHRISTOPHER","H","AR","1","DEM","OPEN","2010","male","0","16.0","democrat"
"GRIFFIN, JOHN TIMOTHY","H","AR","2","REP","OPEN","2010","male","0","9.0","republican"
"GRIFFIN, MORRIS F","H","CA","33","DEM","OPEN","2010","male","0","20.0","democrat"
"GRIMAUD, JOSEPH A JR","H","SC","3","REP","OPEN","2010","male","0","7.258064516129033","republican"
"GRIST, RONNIE","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"GUILD, THOMAS EUGENE","H","OK","5","DEM","OPEN","2010","male","0","2.9702970297029703","democrat"
"HAFER, BARBARA H","H","PA","12","DEM","OPEN","2010","female","1","5.41871921182266","democrat"
"HAMANN, PAUL","H","IL","10","REP","OPEN","2010","male","0","10.16949152542373","republican"
"HAMOS, JULIE","H","IL","10","DEM","OPEN","2010","female","1","21.1864406779661","democrat"
"HANSON, TOM","H","IL","5","REP","OPEN","2010","male","0","10.16949152542373","republican"
"HARDIMAN, CLYDE PRESTON (WILLIAM)","H","MI","3","REP","OPEN","2010","male","0","5.454545454545454","republican"
"HARTMAN, WINK","H","KS","4","REP","OPEN","2010","male","0","12.0","republican"
"HASS, JAMES THOMAS","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"HAYDEN, ROBERT E","H","MA","10","REP","OPEN","2010","male","0","1.875","republican"
"HEACOCK, STEVEN R","H","MI","3","REP","OPEN","2010","male","0","5.454545454545454","republican"
"HECK, DENNIS","H","WA","3","DEM","OPEN","2010","male","0","21.428571428571427","democrat"
"HECKMAN, DOUGLAS SCOTT","H","GA","7","DEM","OPEN","2010","male","0","15.0","democrat"
"HEDRICK, DAVID WILLIAM","H","WA","3","REP","OPEN","2010","male","0","8.16326530612245","republican"
"HENDERSON, CHARLES E","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"HENDRICKSON, CAROL FLORRIE","H","AL","7","REP","OPEN","2010","female","1","2.857142857142857","republican"
"HERNANDEZ, TERESA","H","CA","32","REP","OPEN","2010","female","1","5.0","republican"
"HERRERA, JAIME","H","WA","3","REP","OPEN","2010","male","0","8.16326530612245","republican"
"HERRON, ROY BRASFIELD","H","TN","8","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"HERSHMAN, BRANDT","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"HICE, JODY B MR","H","GA","7","REP","OPEN","2010","female","1","6.111111111111111","republican"
"HILLIARD, EARL FREDERICK JR","H","AL","7","DEM","OPEN","2010","male","0","9.523809523809524","democrat"
"HOLZMEYER, KRIS ALAN","H","TN","3","REP","OPEN","2010","female","1","5.05050505050505","republican"
"HOOPER, DON","H","MI","1","REP","OPEN","2010","male","0","5.454545454545454","republican"
"HORN, JENNIFER","H","NH","2","REP","OPEN","2010","female","1","10.5","republican"
"HOWARD, HARVEY","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"HOWARD-HILL, JEAN","H","TN","3","REP","OPEN","2010","female","1","5.05050505050505","republican"
"HUELSKAMP, TIMOTHY A","H","KS","1","REP","OPEN","2010","male","0","12.0","republican"
"HUIZENGA, WILLIAM P","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"HULBURD, JON","H","AZ","3","DEM","OPEN","2010","male","0","15.0","democrat"
"HULL, LEANN","H","AZ","3","REP","OPEN","2010","female","1","15.0","republican"
"IRION, VAN RENCELLIERE","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"IZZO, ROSE","H","DE","0","REP","OPEN","2010","female","1","7.317073170731707","republican"
"JANES, DONN","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"JENERETTE, KATHERINE","H","SC","1","REP","OPEN","2010","female","1","7.258064516129033","republican"
"JENNERJAHN, PHIL","H","CA","33","REP","OPEN","2010","male","0","5.0","republican"
"JETT, SHANE DAVID","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"JILKA, ALAN","H","KS","1","DEM","OPEN","2010","male","0","16.8","democrat"
"JOHNSON, FREDDIE LEE III","H","MI","2","DEM","OPEN","2010","male","0","20.0","democrat"
"JOHNSON, HARRY CLAUD","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"JOHNSON, KENNETH LAMAR","H","IL","0","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"JOHNSON, LOUISE E","H","MI","3","REP","OPEN","2010","female","1","5.454545454545454","republican"
"JONES, JEREMY EDWARD","H","GA","9","REP","OPEN","2010","male","0","6.111111111111111","republican"
"JORDAN, NICHOLAS M","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"KASPEROWICZ, RAYMOND","H","MA","10","REP","OPEN","2010","male","0","1.875","republican"
"KAY, DANIEL S (KARKUSIEWICZ)","H","IL","5","REP","OPEN","2010","male","0","10.16949152542373","republican"
"KEATING, WILLIAM RICHARD","H","MA","10","DEM","OPEN","2010","male","0","22.5","democrat"
"KEITH, LARON","H","IN","4","REP","OPEN","2010","male","0","7.000000000000001","republican"
"KELSEY, RICHARD FRANKLIN","H","KS","4","REP","OPEN","2010","male","0","12.0","republican"
"KEMEA, RICHARD LEE II","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"KENNEDY, JAMES EDWARD","H","MA","10","DEM","OPEN","2010","male","0","22.5","democrat"
"KENNEDY, PATRICK","H","AR","2","DEM","OPEN","2010","male","0","16.0","democrat"
"KERNEA, RICK","H","TN","3","REP","OPEN","2010","male","0","5.05050505050505","republican"
"KHAN, MOHAMMADALI D","H","IL","5","DEM","OPEN","2010","male","0","21.1864406779661","democrat"
"KING, DAVID THEODORE","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"KIRBY, LESTER THOMAS","H","GA","7","REP","OPEN","2010","male","0","6.111111111111111","republican"
"KIRKLAND, RONALD","H","TN","8","REP","OPEN","2010","male","0","5.05050505050505","republican"
"KLOTZ, GARRY R","H","KS","3","REP","OPEN","2010","male","0","12.0","republican"
"KOBROVSKY, LAWRENCE C","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"KUIPERS, WAYNE","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"KUSTER, ANN MCLANE","H","NH","2","DEM","OPEN","2010","female","1","25.25","democrat"
"LANDRY, JEFFREY M","H","LA","3","REP","OPEN","2010","male","0","3.8095238095238098","republican"
"LANKFORD, JAMES","H","OK","5","REP","OPEN","2010","male","0","8.91089108910891","republican"
"LANKSTER, FRANK","H","AL","7","DEM","OPEN","2010","male","0","9.523809523809524","democrat"
"LAROSE, JOSUE","H","FL","19","DEM","OPEN","2010","male","0","12.5","democrat"
"LARSON, CHRIS","H","MI","2","REP","OPEN","2010","male","0","5.454545454545454","republican"
"LASSA, JULIE","H","WI","7","DEM","OPEN","2010","female","1","16.161616161616163","democrat"
"LEE, PHILMUND (PHIL)","H","HI","1","DEM","OPEN","2010","male","0","25.49019607843137","democrat"
"LEMING, BENJAMIN T","H","TN","6","DEM","OPEN","2010","male","0","12.121212121212121","democrat"
"LENTZ, BRYAN ROY","H","PA","7","DEM","OPEN","2010","male","0","5.41871921182266","democrat"
"LEOPOLD, CHRIS","H","LA","3","REP","OPEN","2010","male","0","3.8095238095238098","republican"
"LIGHTNER, PATRICIA","H","KS","3","REP","OPEN","2010","female","1","12.0","republican"
"LINDSEY, JOHN W JR","H","FL","12","REP","OPEN","2010","male","0","11.666666666666666","republican"
"LONG, BILLY","H","MO","7","REP","OPEN","2010","male","0","6.134969325153374","republican"
"LOUGHLIN, JOHN J II","H","RI","1","REP","OPEN","2010","male","0","0.0","republican"
"LOWRY, STEVE MR.","H","AR","3","REP","OPEN","2010","male","0","9.0","republican"
"LUTZ, MARK STEVEN","H","SC","1","REP","OPEN","2010","male","0","7.258064516129033","republican"
"LYNCH, EDWARD J ","H","FL","19","REP","OPEN","2010","male","0","11.666666666666666","republican"
